"","Month-Year","State","Population"
"1","Jul-2020","NSW","8080"
"2","Jul-2020","VIC","2070"
"3","Jul-2020","QLD","3360"
"4","Jul-2020","SA","570"
"5","Jul-2020","WA","2400"
"6","Jul-2020","TAS","140"
"7","Jul-2020","NT","120"
"8","Jul-2020","ACT","490"
