"Table 1.1 Total Arrivals(a) by State of Residence/Stay(b), Jan-1991 to Jun-2021(c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,NSW,Vic.,Qld,SA,WA,Tas.,NT,ACT,Australia(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2017,669550,491160,379550,76860,213540,18230,25170,34590,1909100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2017,570860,423360,322590,63260,183800,14900,21100,23580,1623620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2017,581240,422720,343590,68030,189540,15060,20280,25530,1666150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2017,679820,475610,356700,72410,222130,20370,23480,28890,1879610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2017,590280,414150,302910,59490,176170,15990,19970,23090,1602190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2017,645890,449050,346930,60480,192880,20370,14640,24610,1755130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2018,790080,544980,389630,82590,249150,16880,21440,35350,2130700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2018,644860,459680,311370,65300,183830,19650,13080,31240,1729160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2018,624850,436350,324060,59730,185060,16370,12720,23110,1682320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2018,606400,438950,318810,63180,180920,15100,15150,29440,1668310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2018,538120,368600,287950,59690,172200,14380,13200,26180,1480380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2018,520100,404770,309990,54930,171200,14010,13280,24630,1513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2018,686690,549090,408700,75040,214680,19220,17720,38190,2009860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2018,592030,462430,359060,65030,185330,14290,15550,24620,1718580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2018,588180,471660,349420,66340,190450,16280,14010,25530,1721970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2018,705920,524950,381890,73170,210470,21690,13410,32070,1963730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2018,602150,461280,305560,63850,179230,18320,12960,24480,1667980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2018,674150,486340,366920,64640,200780,22190,12350,26060,1853600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2019,813630,596370,411220,80290,242850,18300,17530,37400,2217890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2019,651190,500350,313720,67880,187920,20680,13600,32880,1788430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2019,590880,458050,322850,62040,173670,17560,12000,22970,1660140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2019,600940,455230,323180,59670,179650,15220,15360,24830,1674400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2019,570120,420450,312130,62480,170090,15660,13580,23270,1587870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2019,535670,424740,318590,60030,169790,14470,14520,24270,1562130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2019,670310,555380,410700,78900,216650,20200,19790,36600,2008780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2019,618430,475830,357020,71750,197540,18140,17210,26600,1782670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2019,595220,477130,345060,72960,194340,16850,16970,27330,1746100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2019,699880,521120,382780,84040,222580,21560,16580,30490,1979190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2019,603570,474530,324850,64100,195840,20470,11920,26450,1721900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2019,655820,513090,377490,68800,211420,22720,11550,28250,1889300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2020,803980,609400,428180,81290,260650,20650,17330,35570,2257280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2020,546330,426000,286860,61960,189340,18510,12380,27010,1568650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2020,303700,255220,187900,38070,104850,10110,6950,14890,921950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2020,7090,5630,4200,960,2430,210,150,490,21170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2020,7210,5020,3560,760,1850,140,180,380,19120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2020,9240,6050,5570,790,2350,170,410,540,25120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2020,8080,2070,3360,570,2400,140,120,490,17260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2020,8480,1500,2320,360,1630,120,140,370,14940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2020,8880,1940,2520,520,1420,100,390,430,16200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2020,13450,2960,3440,830,2190,170,160,520,23710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2020,17430,3570,3850,970,2450,230,220,600,29330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2020,18270,6960,4460,1020,2570,490,150,750,34670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2021,13000,7570,5010,1260,2610,500,310,890,31160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2021,11720,4960,4440,920,2240,240,180,510,25210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2021,16180,6000,4610,940,2930,300,530,490,31990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2021,27440,10740,9530,1520,3360,450,270,590,53910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2021,57680,20850,24420,2470,6440,910,510,1210,114520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2021,55290,9390,26050,2450,6480,890,580,1340,102480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
