"","Month-Year","State","Population"
"1","Jul-2020","New South Wales","8080"
"2","Jul-2020","Victoria","2070"
"3","Jul-2020","Queensland","3360"
"4","Jul-2020","South Australia","570"
"5","Jul-2020","Western Australia","2400"
"6","Jul-2020","Tasmania","140"
"7","Jul-2020","Northern Territory","120"
"8","Jul-2020","Australian Capital Territory","490"
