"","","Month","Month1","Country","Percentage Change"
"111",NA,"Jun-21",15,"Marshall Is","0"
"112",NA,"Jul-21",16,"Marshall Is","0"
"113",NA,"Apr-20",1,"Micronesia","0"
"114",NA,"May-20",2,"Micronesia","0"
"115",NA,"Jun-20",3,"Micronesia","0"
"116",NA,"Jul-20",4,"Micronesia","0"
"117",NA,"Aug-20",5,"Micronesia","0"
"118",NA,"Sep-20",6,"Micronesia","0"
"119",NA,"Oct-20",7,"Micronesia","0"
"120",NA,"Nov-20",8,"Micronesia","0"
"121",NA,"Dec-20",9,"Micronesia","0"
"122",NA,"Jan-21",10,"Micronesia","0"
"123",NA,"Feb-21",11,"Micronesia","0"
"124",NA,"Mar-21",12,"Micronesia","0"
"125",NA,"Apr-21",13,"Micronesia","0"
"126",NA,"May-21",14,"Micronesia","0"
"127",NA,"Jun-21",15,"Micronesia","0"
"128",NA,"Jul-21",16,"Micronesia","0"
"129",NA,"Apr-20",1,"Nauru","-92.30769231"
"130",NA,"May-20",2,"Nauru","-100"
"131",NA,"Jun-20",3,"Nauru","-84.61538462"
"132",NA,"Jul-20",4,"Nauru","-92.30769231"
"133",NA,"Aug-20",5,"Nauru","-92.30769231"
"134",NA,"Sep-20",6,"Nauru","-84.61538462"
"135",NA,"Oct-20",7,"Nauru","-84.61538462"
"136",NA,"Nov-20",8,"Nauru","-92.30769231"
"137",NA,"Dec-20",9,"Nauru","-92.30769231"
"138",NA,"Jan-21",10,"Nauru","-84.61538462"
"139",NA,"Feb-21",11,"Nauru","-92.30769231"
"140",NA,"Mar-21",12,"Nauru","-92.30769231"
"141",NA,"Apr-21",13,"Nauru","-92.30769231"
"142",NA,"May-21",14,"Nauru","-92.30769231"
"143",NA,"Jun-21",15,"Nauru","-92.30769231"
"144",NA,"Jul-21",16,"Nauru","-100"
"145",NA,"Apr-20",1,"Palau","0"
"146",NA,"May-20",2,"Palau","0"
"147",NA,"Jun-20",3,"Palau","0"
"148",NA,"Jul-20",4,"Palau","0"
"149",NA,"Aug-20",5,"Palau","0"
"150",NA,"Sep-20",6,"Palau","0"
"151",NA,"Oct-20",7,"Palau","0"
"152",NA,"Nov-20",8,"Palau","0"
"153",NA,"Dec-20",9,"Palau","0"
"154",NA,"Jan-21",10,"Palau","0"
"155",NA,"Feb-21",11,"Palau","0"
"156",NA,"Mar-21",12,"Palau","0"
"157",NA,"Apr-21",13,"Palau","0"
"158",NA,"May-21",14,"Palau","0"
"159",NA,"Jun-21",15,"Palau","0"
"160",NA,"Jul-21",16,"Palau","0"
"161",NA,"Apr-20",1,"Cook Islands","0"
"162",NA,"May-20",2,"Cook Islands","0"
"163",NA,"Jun-20",3,"Cook Islands","0"
"164",NA,"Jul-20",4,"Cook Islands","0"
"165",NA,"Aug-20",5,"Cook Islands","0"
"166",NA,"Sep-20",6,"Cook Islands","0"
"167",NA,"Oct-20",7,"Cook Islands","0"
"168",NA,"Nov-20",8,"Cook Islands","0"
"169",NA,"Dec-20",9,"Cook Islands","0"
"170",NA,"Jan-21",10,"Cook Islands","0"
"171",NA,"Feb-21",11,"Cook Islands","0"
"172",NA,"Mar-21",12,"Cook Islands","0"
"173",NA,"Apr-21",13,"Cook Islands","0"
"174",NA,"May-21",14,"Cook Islands","0"
"175",NA,"Jun-21",15,"Cook Islands","0"
"176",NA,"Jul-21",16,"Cook Islands","0"
"177",NA,"Apr-20",1,"Fiji","-98.46153846"
"178",NA,"May-20",2,"Fiji","-98.46153846"
"179",NA,"Jun-20",3,"Fiji","-98.46153846"
"180",NA,"Jul-20",4,"Fiji","-99.48717949"
"181",NA,"Aug-20",5,"Fiji","-98.97435897"
"182",NA,"Sep-20",6,"Fiji","-98.97435897"
"183",NA,"Oct-20",7,"Fiji","-96.92307692"
"184",NA,"Nov-20",8,"Fiji","-88.20512821"
"185",NA,"Dec-20",9,"Fiji","-97.43589744"
"186",NA,"Jan-21",10,"Fiji","-86.66666667"
"187",NA,"Feb-21",11,"Fiji","-96.41025641"
"188",NA,"Mar-21",12,"Fiji","-88.71794872"
"189",NA,"Apr-21",13,"Fiji","-88.71794872"
"190",NA,"May-21",14,"Fiji","-95.38461538"
"191",NA,"Jun-21",15,"Fiji","-92.82051282"
"192",NA,"Jul-21",16,"Fiji","-97.4358974"
"193",NA,"Apr-20",1,"Samoa","-88.88888889"
